REP,DESIGN,OFV,KA,CL,V,ADD,PROP,OM_KA,OM_CL,OM_V,TERM
32,sparse2,-103.658047718038,0.843471,4.29222,43.1911,0.000160228,3.36458e-09,0.201104,0.0621431,7.10256e-18,SUCCESS
33,sparse2,-101.492280750709,1.50117,3.37776,65.0205,0.0912854,0.108952,0.0802021,0.0558006,0.0640868,SUCCESS
34,sparse2,-115.084506546385,1.57697,4.11198,56.9915,0.15554,0.102728,0.00426553,0.0089378,0.0243692,SUCCESS
35,sparse2,-90.4424828085009,1.2131,3.77812,54.7298,0.0330455,0.0659258,0.103749,0.113728,0.0497811,SUCCESS
36,sparse2,-70.1347251786916,1.48932,3.93866,56.9373,0.0983966,0.16516,0.0397161,0.0730967,0.0866321,SUCCESS
37,sparse2,-89.3429249053746,0.805642,4.45863,40.0071,0.0924398,0.0930482,0.159693,0.0489747,0.00156681,SUCCESS
38,sparse2,-80.392522098182,0.545322,3.98423,31.6935,0.000846939,0.000935771,0.0329826,0.0382199,0.14771,SUCCESS
39,sparse2,-95.1207194333345,2.47542,3.07466,72.3628,0.150975,0.0628543,0.390039,0.107935,0.0320681,SUCCESS
40,sparse2,-85.639597205813,1.22838,3.93084,50.8427,0.112108,8.71632e-09,3.48932e-14,0.0841618,0.081446,SUCCESS
41,sparse2,-107.362089722646,1.26259,4.35403,46.4255,0.000454778,2.05479e-08,0.47513,0.0611348,5.1587e-14,ROUNDING
42,sparse2,-97.9451267999309,0.794732,4.23375,39.6014,0.087321,0.0657598,0.115612,0.0297589,0.0297215,SUCCESS
43,sparse2,-99.419469192537,0.504491,4.39876,29.1056,0.000155922,4.46613e-05,6.96509e-10,0.0300602,0.116785,ROUNDING
44,sparse2,-94.5679358537323,0.905089,4.28412,42.0275,5.33129e-05,0.00010385,0.122356,0.0627177,0.0288915,SUCCESS
45,sparse2,-82.3348456802101,0.691558,4.14591,37.5984,0.102658,0.0239785,3.52902e-06,0.0554967,0.0997488,SUCCESS
46,sparse2,-101.16021599671,0.905456,4.1865,46.4266,0.0889796,9.52797e-08,0.0561474,0.0457804,0.0634902,SUCCESS
47,sparse2,-89.4025819382505,1.22683,3.69258,48.0219,0.212379,5.25902e-08,0.254834,1.98805e-10,1.62892e-58,SUCCESS
48,sparse2,-83.0625942796308,0.968035,3.87278,47.9331,0.0813661,0.133979,0.00814957,0.076137,0.0605759,SUCCESS
49,sparse2,-91.6069068329981,2.63784,3.59059,65.4952,0.108515,0.0728377,0.472866,0.129208,0.0265604,SUCCESS
50,sparse2,-82.5747501980516,1.00064,3.93889,46.6363,0.000137338,0.000104325,1.07055e-14,0.132758,0.0880836,SUCCESS
51,sparse2,-66.7416310533628,5.75629,3.12092,77.6481,0.129951,0.221214,0.0277562,0.0754673,0.0744443,SUCCESS
52,sparse2,-83.8249540382906,1.03101,4.12207,44.5986,0.0837257,0.0699982,3.41494e-11,0.0425401,0.118708,SUCCESS
53,sparse2,-82.9521039297948,0.842043,4.20017,43.7743,0.00016294,0.000656869,0.00350588,0.107509,0.102468,SUCCESS
54,sparse2,-93.2327528882372,1.22957,4.09572,43.831,3.55279e-05,2.88525e-05,0.351637,0.10334,9.91783e-12,ROUNDING
55,sparse2,-84.2504240120002,0.615706,4.14082,29.4095,3.5674e-05,6.30076e-05,0.102094,0.0375884,0.0358782,SUCCESS
56,sparse2,-105.728179936319,0.771912,3.99327,42.7136,0.000104072,4.46508e-05,0.211086,0.0532095,8.31993e-20,SUCCESS
57,sparse2,-108.394900312722,1.89088,3.72145,66.7107,8.73211e-05,5.37698e-05,5.08813e-15,0.186642,0.0678869,SUCCESS
58,sparse2,-80.6612009048854,0.772595,3.71654,42.4741,0.00702007,0.0222211,0.0360559,0.089445,0.0969335,SUCCESS
59,sparse2,-83.4491281099246,0.328233,4.38174,20.0984,0.000245065,0.000126515,0.109945,0.0339181,0.0383631,SUCCESS
60,sparse2,-76.8088826522364,0.929345,4.16495,46.2183,0.000367767,0.000415945,0.0554918,0.164565,0.0609559,SUCCESS
61,sparse2,-67.1001901340209,0.5452,4.30272,27.3288,0.186057,0.121575,0.0995674,0.0253308,0.00217963,SUCCESS
62,sparse2,-97.224337753354,1.04643,4.67198,47.4455,8.28687e-05,3.76133e-05,0.508155,0.0950248,3.65274e-12,ROUNDING
63,sparse2,-114.789172701869,0.887499,4.45379,43.2663,8.88374e-05,0.00011489,3.23325e-23,0.0524471,0.062003,SUCCESS
64,sparse2,-97.1297564821993,1.0755,4.17956,43.7054,7.34959e-05,7.84652e-05,0.463706,0.0654768,1.23671e-09,ROUNDING
65,sparse2,-96.8313556711573,0.789395,4.0837,43.6295,4.65524e-05,5.07614e-05,1.94768e-17,0.0797909,0.0906053,SUCCESS
66,sparse2,-73.6442835602721,0.571217,3.87375,33.1287,1.80422e-39,0.000212176,8.48431e-14,0.0719613,0.134112,ROUNDING
67,sparse2,-92.0609521945309,0.689565,4.38392,34.0391,0.236999,4.82261e-11,3.24962e-60,7.04104e-17,0.0326277,SUCCESS
68,sparse2,-85.4774216516295,1.34601,4.13572,55.4485,1.71092e-05,5.83197e-05,0.177084,0.116491,0.0608578,SUCCESS
69,sparse2,-76.8172480857393,0.915014,4.29308,46.1507,0.000259757,0.000461848,0.109633,0.157056,0.0398481,SUCCESS
70,sparse2,-80.0558317602395,0.57118,4.39365,34.152,4.53176e-06,1.33645e-07,0.0414748,0.0609166,0.110087,SUCCESS
71,sparse2,-110.909646339582,0.788045,4.03048,43.1384,0.000142604,5.55183e-11,0.202093,0.0475946,2.00728e-20,SUCCESS
72,sparse2,-115.415707541307,0.737055,4.0667,39.2123,8.64887e-05,2.50424e-09,1.8797e-15,0.0307085,0.090118,SUCCESS
73,sparse2,-85.9003451795922,0.888766,4.05961,43.9935,0.198692,0.0765714,4.13544e-12,8.14842e-17,0.0837268,SUCCESS
74,sparse2,-92.8860354416856,1.96166,3.03433,67.165,0.0316511,0.0525191,0.296561,0.116109,0.0710848,SUCCESS
75,sparse2,-117.176515463874,0.884649,3.97245,43.9827,0.170266,6.09604e-06,1.56024e-24,0.00132143,0.0412075,SUCCESS
76,sparse2,-88.0484300968226,1.00895,4.28025,50.5672,0.163071,0.0916776,2.7337e-14,0.01773,0.0980029,SUCCESS
77,sparse2,-100.343534608503,1.92481,3.95273,67.3066,0.000137198,0.000148557,0.129045,0.164132,0.0657626,SUCCESS
78,sparse2,-77.6652522426348,0.886708,4.19196,42.8599,0.000371934,0.000555991,0.210791,0.0956051,0.0209869,SUCCESS
79,sparse2,-82.4697333244456,0.646919,4.57796,33.1139,0.190179,0.0270185,0.190563,2.3061e-10,0.0197184,ROUNDING
